	item	RT	ACC	literate	number	list	pp	subject
1	A10.jpg	20.793882191999725	0.0	n	3	b	n_3	21
2	B4.jpg	25.52852324245396	1.0	n	3	b	n_3	21
3	B9.jpg	15.04485957601355	0.0	n	3	b	n_3	21
4	C6.jpg	27.257500166138925	0.0	n	3	b	n_3	21
5	C10.jpg	12.445122237837493	0.0	n	3	b	n_3	21
6	D8.jpg	17.119056070721854	0.0	n	3	b	n_3	21
7	E2.jpg	9.041556650183338	1.0	n	3	b	n_3	21
8	E4.jpg	9.25098913531474	0.0	n	3	b	n_3	21
9	E9.jpg	18.914459448289566	0.0	n	3	b	n_3	21
1	A11.jpg	76.7131313082209	0.0	y	15	a	y_15	22
2	B12.jpg	128.83308979776484	0.0	y	15	a	y_15	22
3	C4.jpg	30.181365922524492	1.0	y	15	a	y_15	22
4	C12.jpg	18.905151202767232	0.0	y	15	a	y_15	22
5	D7.jpg	50.751359909101666	1.0	y	15	a	y_15	22
6	D12.jpg	36.47248453285829	0.0	y	15	a	y_15	22
7	E1.jpg	24.93414449723059	1.0	y	15	a	y_15	22
8	E5.jpg	29.06984081445444	1.0	y	15	a	y_15	22
9	E7.jpg	59.375483221574534	1.0	y	15	a	y_15	22
1	A10.jpg	35.44495974571873	1.0	y	15	b	y_15	22
2	B4.jpg	8.747546004315153	1.0	y	15	b	y_15	22
3	B9.jpg	6.966923331276121	1.0	y	15	b	y_15	22
4	C6.jpg	13.416432856311074	1.0	y	15	b	y_15	22
5	C10.jpg	47.48577565876076	1.0	y	15	b	y_15	22
6	D8.jpg	13.488841532498554	1.0	y	15	b	y_15	22
7	E2.jpg	27.814019868612377	0.0	y	15	b	y_15	22
8	E4.jpg	62.351646316656115	0.0	y	15	b	y_15	22
9	E9.jpg	20.905559661756342	0.0	y	15	b	y_15	22
1	A11.jpg	24.553703847781435	0.0	low	4	a	low_4	23
2	B12.jpg	157.6392780325259	0.0	low	4	a	low_4	23
3	C4.jpg	19.39411713696245	1.0	low	4	a	low_4	23
4	C12.jpg	14.141578856088016	0.0	low	4	a	low_4	23
5	D7.jpg	14.20174186688746	0.0	low	4	a	low_4	23
